_id,place_id,mon_start,mon_end,mon_name,mon_description,tue_start,tue_end,tue_name,tue_description,wed_start,wed_end,wed_name,wed_description,thu_start,thu_end,thu_name,thu_description,fri_start,fri_end,fri_name,fri_description,sat_start,sat_end,sat_name,sat_description,sun_start,sun_end,sun_name,sun_description
1,1,,,,,,,,,11:00,14:00,,,11:00,14:00,,,11:00,14:00,,,11:00,15:30,,,11:00,15:30,,
2,1,,,,,,,,,,,,,,,,,,,,,11:00,14:30,,,11:00,14:30,,
3,1,11:00,15:30,,,,,,,11:00,14:00,,,11:00,14:00,,,11:00,14:00,,,11:00,15:30,,,11:00,15:30,,
4,1,,,,,,,,,,,,,,,,,,,,,11:00,15:30,,,11:00,15:30,,
5,1,,,,,,,,,,,,,11:00,14:00,,,11:00,14:00,,,11:00,15:30,,,11:00,15:30,,
6,1,,,,,,,,,11:00,15:30,,,11:00,15:30,,,11:00,15:30,,,11:00,15:30,,,11:00,15:30,,
7,1,11:00,15:30,,,,,,,11:00,15:30,,,11:00,15:30,,,11:00,15:30,,,11:00,15:30,,,11:00,15:30,,
8,1,,,,,,,,,,,,,11:00,15:30,,,11:00,15:30,,,11:00,15:30,,,11:00,15:30,,
9,2,,,,,,,,,14:00,17:30,,,,,,,,,,,14:00,17:30,,,,,,
10,2,,,,,,,,,14:00,17:30,,,,,,,,,,,14:00,17:30,,,14:00,17:30,,
11,2,,,,,,,,,,,,,,,,,,,,,14:00,17:30,,,,,,
12,2,14:00,17:30,,,,,,,14:00,17:30,,,,,,,,,,,14:00,17:30,,,,,,
13,2,,,,,,,,,14:00,17:30,,,,,,,,,,,,,,,,,,
14,4,,,,,,,,,,,,,,,,,,,,,Dawn,Dusk,,,Dawn,Dusk,,
15,4,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,,,,
16,4,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,
17,3,,,,,,,,,,,,,,,,,,,,,Dawn,Dusk,,,Dawn,Dusk,,
18,3,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,,,,
19,3,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,
20,5,,,,,,,,,,,,,,,,,,,,,Dawn,Dusk,,,Dawn,Dusk,,
21,5,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,Dawn,Dusk,,,,,,
