_id,id,name,name_clean,contact_email,contact_phone,description_html,description_strapline,emergency_notice,emergency_notice_updated,admission_price_note,opening_times_note,opening_times_from,opening_times_to,latitude,longitude,lat_rad,lon_rad,sin_lat,cos_lat,sin_lon,cos_lon,postal_address_country,postal_address_county,postal_address_lines,postal_address_postcode,postal_address_town,website_url,timed_entry_url,actively_promoted,popular,popular_order,favoured,favoured_last_updated,type,updated,modified,updated_admission_prices,modified_admission_prices,updated_directions,modified_directions,updated_notes,modified_notes,updated_opening_times_days,modified_opening_times_days,updated_opening_times_weeks,modified_opening_times_weeks,loading_events_status,viewed_last_updated,hero_image_version,region
1,273,Quebec House,QuebecHouse,quebechouse@nationaltrust.org.uk,+441959567430,"<p>Explore this fascinating house, the childhood home of General James Wolfe. Discover the dramatic battle that won dominance in North America and claimed the territories of New France, that would later become Canada, for the British. Also learn of Wolfe&#39;s tragic death, in our exhibition above the Coach House.</p>

<p>Travel back in time and see the house as it appeared in the 1730s when James Wolfe and his family lived here. Learn something new&nbsp;in our replica 18th-century school room, or take your chances with Mrs Wolfe&rsquo;s &lsquo;cure for consumption&rsquo; in the kitchen.</p>

<p>Entrance to Quebec House is via prebooked ticket only. Please see our &#39;<a href=""https://www.nationaltrust.org.uk/quebec-house/features/visiting-quebec-house-what-to-expect"">What to expect</a>&#39; article to find out how to book.</p>
","Childhood home of General James Wolfe, victor of the Battle of Quebec (1759)",,1665653347985,"<p>Free entry for National Trust members.&nbsp;</p>
",,2022-01-01,2022-12-31,51.268002,0.07833,0.894795435819038,0.00136711640308716,0.78008110610238,0.625678406133764,0.00136711597722878,0.999999065496516,England,Kent,Quebec Square,TN16 1TD,Westerham,https://www.nationaltrust.org.uk/quebec-house,https://www.nationaltrust-tickets.org.uk/tickets?branches.branchID=2421,"nationaltrust.org.uk
National Trust Mobile Application",0,0,0,0,1,1665653347985,1663351791000,1665653701802,1641020640000,1665653743492,0,1665653722652,1653484782000,0,0,1665653764081,1658657995000,0,0,1418484611,London and South East
2,125,Farnborough Hall,FarnboroughHall,farnboroughhall@nationaltrust.org.uk,+441295670266,"<p>Farnborough Hall is open from April - September, as it is still lived in by the Holbech family.</p>

<p>Nestled in the heart of rural Warwickshire, surrounded by elegant lakes and fine landscape gardens sits Farnborough Hall. Made from the locally quarryed Hornton honey-coloured stone, this country house shimmers in the sunlight.</p>

<p>Inside, the finest 18th-century plasterwork, depicting natural beauty and wildlife, adorns the interiors. On your way around you&#39;ll spot many treasures that were collected during the Grand Tour, as well as sentimental family items and photographs.</p>
",Honey-coloured stone house with exquisite plasterwork and fine landscaped garden,Farnborough Hall is now closed for the season. The house and garden will reopen in April 2023.,1665653348856,"<p><strong>Free entry for National Trust members.</strong></p>
","Farnborough Hall is managed by the Holbech family.
No coaches. Unfortunately there is no safe access for a coach, nor a place nearby where passengers may disembark. Groups are welcome to visit by prior arrangement if travelling by car or minibus. ",2022-01-01,2022-12-31,52.136902,-1.36541,0.909960601689617,-0.0238309001396558,0.789479558531677,0.613776854125852,-0.0238286445621337,0.999716057537505,England,Warwickshire,Farnborough,OX17 1DU,near Banbury,https://www.nationaltrust.org.uk/farnborough-hall,,"nationaltrust.org.uk
National Trust Mobile Application",0,0,0,0,1,1665653348856,1664530106000,1665653701802,1658837044000,1665653743501,0,1665653722653,1647694556000,0,0,1665653764146,1655724599000,0,0,1418387522,Midlands
3,6157,Selborne Common,SelborneCommon, selborneandludshott@nationaltrust.org.uk,+441428751338,"<p>We look after&nbsp;267 acres of countryside around Selborne. The largest area, Selborne Common, lies on the hill to the west of the village, while the valley meadows and woodlands of the Lythes lie beyond St Marys Church to the east.</p>

<p>Rev. Gilbert White (1720-1793), the&nbsp;pioneering naturalist,&nbsp;lived for most of his life&nbsp;in a house in Selborne called &lsquo;The Wakes&rsquo;. His book - &lsquo;The Natural History of Selborne&rsquo; - published in 1789 and inspired by the landscape, provided an invaluable record&nbsp;of&nbsp;its wealth of wildlife, including descriptions of many now rare plants and animals.</p>
",Discover the magnificent beech woods and flower-filled meadows that inspired Gilbert White,,1665653350667,,,2022-01-01,2022-12-31,51.096107,-0.951764,0.891795302101322,-0.0166114155019513,0.778200479360337,0.628015934450188,-0.0166106515559151,0.999862033610082,England,Hampshire,,GU34 3JR ,Selborne,https://www.nationaltrust.org.uk/selborne-common,,"National Trust Mobile Application
nationaltrust.org.uk",0,0,0,0,0,1665653350667,1655200495000,1665653701956,1641020639000,1665653743571,0,1665653722735,1589440242000,0,0,1665653764248,1641020639000,0,0,1546436091,London and South East
4,6193,Morven Park,MorvenPark,morvenpark@nationaltrust.org.uk,+441582873663,"<p>The story of Morven Park begins as early as the 14th century. The medieval town of Potters Bar - on the edge of Hertfordshire - was the site of a toll along the Great North Road. The remains of this original settlement; the toll house and the old Great North Road are buried beneath Morven&rsquo;s grounds.</p>

<p>Morven was donated to us by Mr A.B. Sanderson in two parts, the first 20 acres in 1928 and the rest of the park - including the house - in 1934.</p>

<p>Mr Sanderson&rsquo;s wishes were very clear &#39;that Morven be used for some local benefit such as a Cottage Hospital or Library, and if let for some such purpose the rent received be used for upkeep of the house, the park and play grounds&#39;. &nbsp;In-keeping with this, the house is currently a care home (not open to visitors). The park itself is open daily for everyone to enjoy.&nbsp;</p>
",20 acres of peaceful parkland located in the heart of Potters Bar,,1665653352019,,,2022-01-01,2022-12-31,51.700131,-0.174226,0.902337509662388,-0.00304081734257964,0.784777787582232,0.619777237495486,-0.00304081265639335,0.999995376718507,England,Hertfordshire,Hatfield Road,EN6 1HS,Potters Bar,https://www.nationaltrust.org.uk/morven-park,,"nationaltrust.org.uk
National Trust Mobile Application",0,0,0,0,0,1665653352019,1662731286000,1665653701948,1499915332000,1665653743562,0,1665653722728,1499915332000,0,0,1665653764208,1641020778000,0,0,1418122654,East of England
5,6127,Limpsfield Common,LimpsfieldCommon,limpsfieldcommon@nationaltrust.org.uk,+441342843225,"<p>Limpsfield Common was used by commoners for grazing their animals and collecting stone and firewood. Now, with its extensive network of footpaths and bridleways through patches of open heathland and large areas of woodland, the Common is a perfect place to enjoy the countryside, whether walking, cycling or horseriding. There&rsquo;s an old Roman road to saunter along too.</p> <p>Limpsfield Common is also a good spot for family outings and picnics, with open, mainly flat, spaces to run and explore.</p> <p>There are magnificent beech trees, some around 200 years old, and the woodland is carpeted with bluebells in spring.</p> <p>Also look out for the partly hidden, recently restored (to its war time condition) Second World War air raid shelter - experience what life was like during an air raid on a guided tour.</p>",Ancient common on the Greensand Ridge where time comes home to sleep,,1665653352141,,,2022-01-01,2022-12-31,51.250685,0.042615,0.89449319715247,0.000743772060737384,0.779891966268582,0.625914148226196,0.000743771992161988,0.999999723401574,England,Surrey,Limpsfield,RH8 0TW,Oxted,https://www.nationaltrust.org.uk/limpsfield-common,,"nationaltrust.org.uk
National Trust Mobile Application",0,0,0,0,0,1665653352141,1655200496000,1665653702086,1641020786000,1665653743643,0,1665653722795,1626872684000,0,0,1665653764306,1647611284000,0,0,1421833742,London and South East
6,143,Glastonbury Tor,GlastonburyTor,glastonburytor@nationaltrust.org.uk,+441278751874,"<p>This iconic and evocative landmark offers magnificent views of the Somerset Levels, Dorset, Wiltshire and Wales.</p> <p>Steeped in history and legend, excavations at the top of the Tor have revealed the plans of two superimposed churches of St Michael, of which only a 15th-century tower remains.</p> <p>Glastonbury Tor also has a grisly past. Abbot Richard Whiting was executed here in 1549 on the orders of Thomas Cromwell, the first Earl of Essex.</p> <p>Glastonbury Tor is known as being one of the most spiritual sites in the country. Its pagan beliefs are still very much celebrated. It&rsquo;s a beautiful place to walk, unwind and relax.</p>","Prominent hill overlooking the Isle of Avalon, Glastonbury and Somerset",,1665653353224,,,2022-01-01,2022-12-31,51.143368,-2.707853,0.892620162159107,-0.047260950510006,0.778718239820075,0.627373814381445,-0.0472433588183891,0.9988834091362,England,Somerset,,,near Glastonbury,https://www.nationaltrust.org.uk/glastonbury-tor,,"nationaltrust.org.uk
National Trust Mobile Application",0,0,0,0,0,1665653353224,1655200374000,1665653702069,1499915131000,1665653743727,0,1665653722811,1608635584000,0,0,1665653764340,1641020517000,0,0,1418677824,South West
7,64,Carlyle's House,CarlylesHouse,carlyleshouse@nationaltrust.org.uk,+442073525108,"<p>Hidden in the quiet back streets of Chelsea is the home of Thomas and Jane Carlyle.</p>

<p>A twist of fate turned Carlyle into a star of the 19th-century literary world. Suddenly this was the place to be.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>

<p>When you pull the bell to enter you will follow in the footsteps of Dickens, Ruskin, Tennyson and many more.</p>

<p>William Makepeace Thackeray said:&nbsp;&#39;Tom Carlyle lives in perfect dignity in a house in Chelsea with a snuffy Scotch maid to open the door and best company in England ringing at it!&#39;</p>

<p>Come and learn more of their remarkable story as you look around this authentic, evocative, very special place.</p>
",The Chelsea home of a Victorian literary couple,Carlyle's House is open on Wednesdays for pre-booked slots only. You will need to book your visit in advance via the link below.,1665653353310,,,2022-01-01,2022-12-31,51.484326,-0.170021,0.898571001870122,-0.00296742624753328,0.782437830657024,0.622728705903887,-0.00296742189253127,0.999995597193963,England,London,24 Cheyne Row,SW3 5HL,Chelsea,https://www.nationaltrust.org.uk/carlyles-house,https://www.nationaltrust-tickets.org.uk/tickets?branches.branchID=2528,"National Trust Mobile Application
nationaltrust.org.uk",0,0,0,0,1,1665653353310,1655200402000,1665653702139,1647079933000,1665653743659,0,1665653722901,1507107075000,0,0,1665653764388,1647079843000,0,0,1418482731,London and South East
8,6230,Crantock Beach,CrantockBeach,crantockbeach@nationaltrust.org.uk,+441208863046,"<p>Close to Newquay, this feels like a different Cornwall: Crantock Beach is a long stretch of golden sand sitting at the mouth of the Gannel estuary.</p>

<p>The beach is backed by dunes, with the wildlife-rich grasslands of Rushy Green rising up behind them. At the far end of the beach is the headland of Pentire Point West. This small stretch of coast and the slopes above Polly Joke beach are popular in early summer for their amazingly vibrant displays of wildflowers.</p>

<p>There are walks to enjoy taking in the Gannel and Crantock village, or you could follow the South West Coast Path for far-reaching views along the coast beyond West Pentire.</p>

<p>Once busy with sailing ships carrying supplies, the Gannel estuary is now a haven for wildlife and a ruined limekiln can be seen at Penpol Creek. At the southern end of the beach the deep cleft of Piper&#39;s Hole is a sanctuary for seabirds.&nbsp; At low tide you can explore the cave and see if you can spot the rock carvings that are more than 100 years old.</p>
","An expanse of golden sand, great for sandcastles and surfing",,1665653354480,"<p>National Trust members and Blue Badge holders park for free. Members please scan for a ticket.</p>

<p><strong>Parking charges </strong>(1 March to 31 October)</p>

<p>&pound;2&nbsp;up to 1hr</p>

<p>&pound;4 up to 4hrs</p>

<p>&pound;8&nbsp;all day</p>

<p><strong>Winter charges</strong> (1 November to 28 February)</p>

<p>&pound;1 up to 1hr</p>

<p>&pound;2 up to 4hrs</p>

<p>&pound;4 all day</p>

<p>The pay and display machines only accept cash (no notes) and exact change is needed.</p>

<p>You can also pay using PayByPhone (location code: 803547). We suggest downloading the App before you visit as mobile reception can be patchy here.</p>
","Car park height restriction barrier (2.1m) in place. Barrier open April to October, 9am until 5pm. Sorry, no out of hours opening service.",2022-01-01,2022-12-31,50.407092,-5.113636,0.879769721755693,-0.0892497849485127,0.770592136418025,0.637328611699416,-0.0891313452443845,0.996019880973732,England,Cornwall,North Cornwall coast,,near Newquay,https://www.nationaltrust.org.uk/crantock-beach,,"nationaltrust.org.uk
National Trust Mobile Application",0,0,0,0,0,1665653354480,1664953750000,1665653702155,1616412671000,1665653743807,0,1665653722915,1661433405000,0,0,1665653764430,1641020539000,0,0,1546434675,South West
9,211,Loughwood Meeting House,LoughwoodMeetingHouse,loughwood@nationaltrust.org.uk,+441752346585,"<p>Discover Loughwood, one of the earliest surviving Baptist churches in the country. Founded in secret during a time of great persecution towards non-conformists, this beautiful chapel is set into the hillside and looks out over the rolling east Devon countryside with views of the Axe Valley.</p>

<p>Step through the front door to travel back in time and explore this place of worship which has remained virtually unchanged since the 18th century.</p>

<p>The chapel is used twice a year by the local <a href=""http://www.beaconbaptist.co.uk/"" target=""_blank"" title=""Kilmington Baptist Church website"">Kilmington Baptist Church</a> and is available for prayer and burials.</p>

<p><strong>Please note:</strong></p>

<p><strong>The main door to the meeting house turns the other way. No toilets are available at this site.</strong></p>
",Atmospheric 17th-century thatched Baptist meeting house,,1665653354777,"<p>Free admission.</p>
",,2022-01-01,2022-12-31,50.788428,-3.061108,0.886425290512079,-0.0534264133591386,0.774816822256502,0.632185804924736,-0.0534010004240506,0.998573148624431,England,Devon,Dalwood,EX13 7DU,Axminster,https://www.nationaltrust.org.uk/loughwood-meeting-house,,"National Trust Mobile Application
nationaltrust.org.uk",0,0,0,0,1,1665653354777,1657264554000,1665653702285,1609920696000,1665653743741,0,1665653722962,1654076313000,0,0,1665653764467,1648641182000,0,0,1418680006,South West
10,90006,Marker's,Markers,markers@nationaltrust.org.uk,+441392461546,"<p>A medieval hall-house with a thatched roof, smoke-blackened timbers, a rare painted screen, garden and cob summerhouse.</p>
",Medieval hall-house.,Marker’s is currently closed,1665653355152,,,0,0,50.765734,-3.4400087,0.886029205491631,-0.0600394781122499,0.774566362157653,0.632492648663888,-0.0600034135056702,0.998198171891568,England,Devon,"Townend
Broadclyst",EX5 3HS,Exeter,https://www.nationaltrust.org.uk/markers,,"National Trust Mobile Application
nationaltrust.org.uk",0,0,0,0,1,1665653355152,1658834999000,1665653702263,1609482980000,1665653743814,0,1665653722984,1649050557000,0,0,1665653764509,1641020481000,0,0,1527610657,South West
