_id,place_id,category,name,gift_aid_amount,gift_aid_currency,group_minimum,group_name,standard_amount,standard_currency
1,1,Whole property,Adult,,,,,700,GBP
2,1,Whole property,Child,,,,,350,GBP
3,1,Whole property,Family,,,,,1750,GBP
4,1,Whole property,One adult and up to three children,,,,,1050,GBP
5,2,Whole property,Adult,,,,,700,GBP
6,2,Whole property,Child,,,,,350,GBP
7,2,Whole property,Family,,,,,1750,GBP
8,2,Whole property,One Adult Family,,,,,1050,GBP
9,2,Whole property,Adult,,,15,Group,630,GBP
10,2,Whole property,Child,,,15,Group,315,GBP
11,7,House and garden,Adult,,,,,900,GBP
12,7,House and garden,Child,,,,,450,GBP
13,7,House and garden,Family,,,,,2250,GBP
14,7,House and garden,1 Adult family,,,,,1350,GBP
15,8,Car park,Whole day (1 March - 31 October),,,,,800,GBP
16,14,Car Parking,,,,,,800,GBP
17,16,Landscape garden,Adult,1540,GBP,,,1400,GBP
18,16,Landscape garden,Child,770,GBP,,,700,GBP
19,16,Landscape garden,Family,3850,GBP,,,3500,GBP
20,16,Landscape garden,One adult family,2320,GBP,,,2100,GBP
21,16,Landscape garden,Adult,,,15,Group,1330,GBP
22,16,Landscape garden,Child,,,15,Group,665,GBP
23,18,Petworth House and Park,Adult,1760,GBP,,,1600,GBP
24,18,Petworth House and Park,Child,880,GBP,,,800,GBP
25,18,Petworth House and Park,Family,4400,GBP,,,4000,GBP
26,18,Petworth House and Park,Family one adult,2640,GBP,,,2400,GBP
27,15,House tour,Adult,,,,,800,GBP
28,15,House tour,Child,,,,,400,GBP
29,15,House tour,Family,,,,,2000,GBP
30,20,Long Crendon Courthouse,Adult,,,,,500,GBP
31,20,Long Crendon Courthouse,Child,,,,,250,GBP
32,21,House and Garden | Tŷ a’r ardd,Adult,1210,GBP,,,1100,GBP
33,21,House and Garden | Tŷ a’r ardd,Child,610,GBP,,,550,GBP
34,21,House and Garden | Tŷ a’r ardd,Family,3030,GBP,,,2750,GBP
35,21,House and Garden | Tŷ a’r ardd,1 adult and up to 3 children,1820,GBP,,,1650,GBP
36,24,House or Gardens,Adult,830,GBP,,,750,GBP
37,24,House or Gardens,Child,420,GBP,,,375,GBP
38,24,House or Gardens,Family,2070,GBP,,,1875,GBP
39,24,House or Gardens,1 adult,1240,GBP,,,1125,GBP
40,24,Combined ticket - House and Gardens,Adult,1320,GBP,,,1200,GBP
41,24,Combined ticket - House and Gardens,Child,660,GBP,,,600,GBP
42,24,Combined ticket - House and Gardens,Family,3300,GBP,,,3000,GBP
43,24,Combined ticket - House and Gardens,1 adult,1980,GBP,,,1800,GBP
44,25,Sedge Fen,Adult,940,GBP,,,850,GBP
45,25,Sedge Fen,Child,470,GBP,,,425,GBP
46,25,Sedge Fen,Family,2340,GBP,,,2125,GBP
47,25,Sedge Fen,One adult family,1410,GBP,,,1275,GBP
48,25,Sedge Fen,Adult,,,12,Group,760,GBP
49,25,Sedge Fen,Child,,,12,Group,380,GBP
50,25,Car,Cars,,,,,300,GBP
51,29,Whole property ,Adult,1050,GBP,,,950,GBP
52,29,Whole property ,Child,580,GBP,,,475,GBP
53,29,Whole property ,Family,2890,GBP,,,2375,GBP
54,29,Whole property ,"1 Adult, 3 Children",1730,GBP,,,1425,GBP
55,28,Whole property,Adult,880,GBP,,,800,GBP
56,28,Whole property,Child,440,GBP,,,400,GBP
57,28,Whole property,Family,2200,GBP,,,2000,GBP
58,28,Whole property,"Family one adult, two children",1320,GBP,,,1200,GBP
59,33,Entry to Grange Barn ,Adult,,,,,500,GBP
60,33,Entry to Grange Barn ,Child,,,,,250,GBP
61,33,Entry to Grange Barn ,Family,,,,,1250,GBP
62,33,Entry to Grange Barn ,One adult family ,,,,,750,GBP
63,32,Whole property,Adult,,,,,400,GBP
64,32,Whole property,Child,,,,,200,GBP
65,37,Whole Property,Adult,1155,GBP,,,1050,GBP
66,37,Whole Property,Child,578,GBP,,,525,GBP
67,37,Whole Property,Family,2942,GBP,,,2625,GBP
68,37,Whole Property,Group outside normal hours,,,,,1100,GBP
69,37,Whole Property,Adult,,,0,Group,700,GBP
70,37,Grounds Only,Adult,440,GBP,,,400,GBP
71,37,Grounds Only,Child,220,GBP,,,200,GBP
72,37,Grounds Only,Family,1100,GBP,,,1000,GBP
73,37,Grounds Only,Adult,,,0,Group,700,GBP
74,35,Lifeboat Road car parking,,,,,,750,GBP
75,35,Lifeboat Road coach parking,,,,,,5000,GBP
76,35,Lifeboat Road horsebox parking,,,,,,1500,GBP
77,35,Lifeboat Road mini bus parking,,,,,,1800,GBP
78,35,Victoria Road car parking,,,,,,750,GBP
79,36,House,Adult,,,,,600,GBP
80,36,House,Child,,,,,300,GBP
81,36,Tower ,Adult,,,,,300,GBP
82,36,Tower ,Child,,,,,150,GBP
83,38,Whole property 19 March - 30 October,Adult,660,GBP,,,600,GBP
84,38,Whole property 19 March - 30 October,Child,330,GBP,,,300,GBP
85,38,Whole property 19 March - 30 October,Family,1650,GBP,,,1500,GBP
86,38,Whole property 19 March - 30 October,One adult family,990,GBP,,,900,GBP
87,42,Whole property | Eiddo cyfan,Adult,1540,GBP,,,1400,GBP
88,42,Whole property | Eiddo cyfan,Child,770,GBP,,,700,GBP
