_id,place_id,name,html_notes
1,1,general,"Parking, 80 yards east of Quebec House on A25 in main town car park (not National Trust). Follow footpath beside A25 to house.
No refreshments available to buy on site. We recommend a short walk into Westerham where there are several cafés and pubs to choose from, or heading over to nearby Chartwell.
Dogs on short leads welcome in the garden.
Assistance dogs only in the house please.
Entry to main toilets is from the garden, behind the house. Adapted toilets on ground floor in private area.
We have translated laminated guides in German and Dutch on the history of Quebec House and General Wolfe. We also have leaflets in French for you to take."
2,1,family,Children's activities in the garden available. Please ask a member of staff on arrival for more information.
3,1,accessibility,"Mobility parking in town car park, 80 yards east of Quebec House.
Partly accessible grounds, loose gravel paths. Map showing steps and narrow paths available to borrow from the Coach House. Please ask on arrival.
Adapted toilets on ground floor in private area.
Level entrance to building. Ground floor has 2 steps to rooms. Portable ramp available, please ask on arrival. Many stairs with handrail to first floor. Wide main staircase with polished steps.
Coach House has one step to second hand bookshop. Portable ramp available for access, please ask on arrival. Exhibition area only accessible via narrow flight of stairs.
Photograph album of first floor and large print guide available.
Braille guide available on request."
4,2,general,"Dogs on leads and only in grounds
Free parking, 30 yards
Toilets available
The safety of our visitors, volunteers and staff remains our top priority. We'll continue to provide hand sanitiser and stick to our high standards of cleanliness. In England and Northern Ireland, wearing a face covering is a personal choice, although they are recommended in crowded and enclosed places."
5,2,family,Children's quiz/trail
6,2,accessibility,"Designated mobility parking, 10 yards
Sensory experience
Partly accessible grounds, grass paths, some slopes
Two steps to entrance of building. Ground floor accessible"
7,4,general,"No toilets on site
No parking on site
Dogs welcome
The park is open access, please feel free to wander off the paths"
8,4,family,
9,4,accessibility,
10,3,general,"Public car park behind Selborne Arms in middle of High Street (Please note: not National Trust)
Toilets including disabled (Please note: not National Trust)
Shops, museum, pubs and tea-room in village (not National Trust)"
11,3,family,
12,3,accessibility,
13,5,general,"High Chart car park - Park here for children's playground.
Pine Wood car park - easy access to High Chart 
Moorehouse car park - large area of grassland next to car park. Perfect for picnics and ball games
Ridlands Grove car park - easy access to Ridlands grove and its spring bluebell display
Golf Club car park - 5-minute walk to Limpsfield Common Air Raid Shelters
New Road car park - access to northern part of Limpsfield Common
Scearn Bank car park - spectacular views towards South Downs and perfect for picnics
Local amenities in Limpsfield and Oxted
There are no toilets on site
Dogs welcome; please keep them on leads when livestock are grazing"
14,5,family,"Paths suitable for pushchairs for the majority of the year
Guided walks and talks by a ranger are available for school and community groups
Family events throughout the year, including guided tours of Air Raid Shelters
Family playground situated close to the Limpsfield Chart cricket field. Please park in the High Chart car park and cross road to reach cricket field and playground (currently closed)"
15,5,accessibility,"The property is situated on greensand ridge where the ground drains well. This means that most of the property can be easily accessed year-round, with only a few muddier areas
There are benches scattered around the Common
There's an extensive network of bridleways and footpaths "
16,6,general,"There is no parking at the Tor. The nearest fee paying car park is at Draper and Co on Chilkwell St. (2 mins walk)
The Park & Ride bus links the town of Glastonbury with the Tor and other important sites. Glastonbury Abbey is a good place to start.
Please follow social distancing guidelines.
Admission free. Donations very welcome
Information points at Glastonbury Tor, as well as nearby hills Burrow Mump and Collard Hill
National Trust car parks at Burrow Mump, OS ST357305 and Ivythorn, OS ST479350
Dogs welcome under close control at Glastonbury Tor, Burrow Mump and Collard Hill. Please be aware that stock may be grazing.
Burrow Mump is accessible by bus"
17,6,family,
18,6,accessibility,"Mobility parking for blue and orange badgeholders only in Stonedown Lane
The paths up to the top of the Tor are concrete. There are kissing gates at each entrance
There is a bench about halfway up the Tor on each path
There are seats at the top in the tower
A braille guide is available by prior arrangement"
19,7,general,"There is limited parking available at nearby meters
Toilet - Victorian outside privy
Groups of more than 8 people should contact the property prior to the visit"
20,7,family,
21,7,accessibility,"The house is unsuitable for wheelchair access with many stairs and a gravel path in the garden
Induction loop available, please ask a room steward when you visit
Low light levels for conservation purposes
Guide dogs and Assistance Registed UK dogs are welcome only
Outside toilet with limited access"
22,8,general,"If there are no RNLI flags on Crantock Beach, there is no lifeguard service. Lifeguard cover at Crantock is from 15 May until 26 September (with limited cover in October). Please note there is no early morning or late afternoon/evening cover
For safety in the sea at Crantock, always follow the advice given by the lifeguards when on duty and note any signs
Car park adjacent to the beach. Free parking for National Trust members and Blue Badge holders. Members please scan for a ticket
Height restriction barrier (2.1m). Barrier open April to October, 9am until 5pm. No out of hours opening service
Toilets open daily
Cargo Coffee (not National Trust) serves seasonal takeaway refreshments from the beach
Please take all litter away with you
Dogs welcome under control on the beach all year
No overnight parking or camping
Small shop and post office in Crantock village
Flying of drones and metal detecting is not allowed on National Trust land"
23,8,family,"Baby-changing facilities at Crantock Beach toilets
For safety in the sea, always follow the advice given by the lifeguards on duty and take notice of signs
Be aware of cliff edges and supervise children on the coast paths"
24,8,accessibility,"Designated parking spaces at Crantock Beach car park
Well maintained coastal paths, which may be uneven in places, with kissing gates
Generally a flat, but uneven walk to the beach
Sections of footpath may be muddy at times, especially in the winter"
25,9,general,"The chapel is open to visitors every day, from dawn until dusk.
No toilets are available on site.
A small 3 space car park with gravel surface, is available for visitors.
Assistance dogs are welcome in the Chapel and grounds."
26,9,family,
27,9,accessibility,"The Chapel has stepped access to the graveyard and upper level inside the chapel. Gates in the grounds and narrow corridors inside the Meeting House may restrict wheelchair access.
Full access statement is available below."
28,10,general,Thatched medieval cob house
29,10,family,Beautiful garden to visit
30,10,accessibility,"Limited parking near Marker's
Stepped entrance, alternative accessible entrance through the garden
Narrow doorways on the ground floor
Stairs to the first floor"
31,11,general,"Please follow social distancing measures
The Monument is around 500m from the car park
There are no toilet facilities on site. The nearest accessible Changing Places toilet is at the Iron Duke pub, Wellington, less than 3 miles from the Monument."
32,11,family,
33,11,accessibility,"There are no designated accessible parking spaces
There is an easy access path up to the Monument, with some rest stops.
A bin for dog poo disposal is available on the avenue to the Monument. If you notice the bin is full please contact Taunton Deane Council. www.tauntondeane.gov.uk"
34,12,general,"National Trust café and a pub in Avebury, and pub in Lockeridge
Dogs are welcome but please keep them under control as the site is grazed by livestock
Limited road-side parking is available close to the pedestrian gate in Lockeridge 
Public toilets are available next to the pub in Avebury or in the main car park in Marlborough."
35,12,family,
36,12,accessibility,"Pathways and open spaces with long, tussocky grass and numerous sarsen stones make the ground uneven
Piggledene is level along the valley bottom with a steep valley side
Stiles at access points"
37,14,general,"Our entrance gate and car parks open between 9-4pm Monday to Sunday. Once you are here, you can stay till dusk at the Shell House Car Park. 
Access-friendly car parking available at Entrance and Shell House Car Parks. 
Manual wheelchair and mobility vehicle are available, please book by emailing the Hatfield Forest email - hatfieldforest@nationaltrust.org.uk
Outdoor seating is available near café - please bring picnic chairs or blankets at busier times
Access-friendly toilet and baby changing room are open. Please be prepared to queue safely at busier times. 
A range of light snacks, drinks and ice creams are available at the Forest Café, 9-5pm, Monday to Sunday. 
Shell House and Discovery Room visits, Boat Hire, daily Riding & Fishing Permits are currently unavailable.
The safety of our visitors, volunteers and staff remains our top priority. In England, wearing a face covering is a personal choice, although they are recommended in crowded and enclosed places.
Well behaved dogs welcome (on leads where signed and near livestock) and under close control at all times. 
BBQs and fires are not permitted due to risk of fire in the National Nature Reserve. 
For Annual Riding & Fishing Permits, seasonal Forest produce  - venison, sawn timber, poles and firewood, please call 01279 870678 for details."
38,14,family,"50 things scrapbooks are not currently available, so please check out nationaltrust.org.uk/50-things-to-do. 
Explore the grassland and woodland paths to discover what wildlife calls Hatfield Forest home. 
Family picnics, games and get-togethers which follow current national coronavirus rules are welcomed
BBQs and fires are not permitted due to risk of fire in the National Nature Reserve"
39,14,accessibility,"Mobility parking - in Shell House car park (see opening times for further details) 
Adapted toilet - near café in lake area.
Grounds - partly accessible, some hard standing paths near cafe, wider Forest paths are grass and can be very muddy in winter.
Access Road -  Speed Bumps along access road, approximate height of 50mm with a speed limit of 10mph. "
40,17,general,"No toilets or tea-room
Please park carefully to one side of Chatley Lane without obstructing any private access"
41,17,family,
42,17,accessibility,
43,15,general,"The gardens at Clandon Park are now open 7 days a week, 11am - 4pm
Refreshments are not available at Clandon Park
Wellies or walking boots recommended in wet weather"
44,15,family,"Children of all ages are welcome in the garden
The woodland play area is open
Some garden paths are accessible to pushchairs"
45,15,accessibility,"The garden is partly accessible to wheelchair users, with grass and loose gravel paths, slopes and some steps"
46,16,general,"The garden, parkland, car park and toilets are open 10am to 5pm daily.
Dogs on short leads (not extendable ones) are currently welcome in the garden and wider estate at any time. 
Toilets are open near the reception building
Lunches and refreshments are available from The Coach House Café and takeaways from The Shant in the gardens. An ice-cream cart is available on busy days - please check availability on arrival.
Picnics are welcome in the garden and parkland. No naked flames - gas fires or BBQs - please
Dog waste bins are provided on the three entry points onto the parkland along the drive and inside the garden on the reception building. Dog waste bags are available on the bins or from reception
Due to our Grade I listing, there are no waste bins available in the gardens or parkland
Our driveway has speed bumps with a maximum height of 110mm and a speed limit of 5mph which may be unsuitable for low clearance vehicles
The unauthorised flying of drones at our places isn’t permitted. <a href=/features/visitor-faqs>You can find our drone policy here</a>
There is no overnight camping on site
Bikes and ball games are welcome on the parkland but not in the garden
We do not allow tents or hammocks in the garden or parkland"
47,16,family,"Natural woodland play trail is open.
Areas of open water around the garden, close supervision strongly advised
Baby-changing facilities in toilets"
