_id,lid,place_id,label
1,1,1,House
2,2,1,Second-hand bookshop
3,3,1,Exhibition
4,4,1,Garden
5,1,2,Farnborough Hall
6,1,4,Countryside
7,1,3,Countryside
8,1,5,Countryside
9,1,6,Countryside
10,1,7,House
11,1,8,Countryside
12,1,9,Meeting house
13,1,11,Monument
14,1,13,Portmuck
15,2,13,Skernaghan Point
16,1,14,Forest
17,2,14,Entrance car park
18,3,14,Elgins car park
19,4,14,Shell house car park
20,5,14,Café
21,1,17,Dovecote
22,1,15,House
23,2,15,Garden
24,1,16,Garden
25,2,16,Parkland
26,3,16,Restaurant
27,4,16,Shop
28,5,16,Walk Wood
29,1,18,House
30,2,18,Deer Park
31,3,18,Pleasure Garden
32,4,18,Shop
33,5,18,Historic Kitchens
34,6,18,North Car Park (for Deer Park)
35,7,18,Main Car Park
36,8,18,Second-hand Bookshop
37,9,18,Audit Room Café
38,1,19,Housesteads Roman Fort
39,2,19,Hadrian's Wall
40,3,19,National Trust Visitor Centre
41,1,20,Courthouse
42,1,21,House
43,2,21,Garden
44,3,21,Shop
45,4,21,Old Dairy Cafe
46,5,21,Sun room kiosk
47,1,22,Countryside
48,1,23,Countryside
49,1,24,House
50,2,24,Car Park
51,3,24,Garden
52,4,24,Park
53,5,24,Shop
54,6,24,Tea-room
55,1,25,Nature reserve
56,2,25,Café
57,3,25,Car Park
58,4,25,Shop
59,5,25,Visitor Centre
60,1,26,South Snowdonia
61,1,27,Countryside
62,1,29,Moseley Old Hall
63,2,29,Garden and woodland
64,3,29,Tea-room
65,1,28,Clouds Hill
66,2,28,House
67,1,31,Countryside
68,1,30,Visitor centre and shop
69,1,33,Barn
70,1,32,House
71,1,34,Tarn Hows
72,1,35,Beaches
73,2,35,Lifeboat Road car park
74,3,35,Victoria Road beach car park
75,4,35,Countryside
76,5,35,Victoria Road toilets
77,6,35,Victoria Road woodland car park
78,1,37,House
79,2,37,Grounds
80,3,37,Tea-room
81,4,37,Second-hand Book Shop
82,5,37,Visitor Reception
83,1,36,Countryside
84,2,36,Tower tea kiosk
85,3,36,Tower
86,4,36,House
87,5,36,Kitchen
88,1,38,Stoneacre
89,1,39,Countryside
90,2,39,Shop
91,3,39,Tea-garden
92,1,40,Countryside
