_id,place_id,image_id,version,image_index
1,1,production/1_1,1594635406,0
2,1,production/1_3,1567600240,1
3,1,production/1_4,1418674343,2
4,1,production/1_5,1418674321,3
5,1,production/1_6,1418674309,4
6,10,production/10_3,1418674312,0
7,10,production/10_2,1418674325,1
8,10,production/10_1,1418674339,2
9,10,production/10_5,1418674386,3
10,10,production/10_4,1418674394,4
11,101,production/101_1,1487681744,0
12,101,production/101_5,1487610244,1
13,101,production/101_4,1487610241,2
14,101,production/101_3,1487610247,3
15,101,production/101_2,1487610240,4
16,100,production/100_3,1417707882,0
17,100,production/100_2,1417708087,1
18,100,production/100_1,1417708361,2
19,102,production/102_1,1417708253,0
20,103,production/103_1,1418399354,0
21,104,production/104_1,1418124326,0
22,106,production/106_1,1418483262,0
23,106,production/106_2,1418483277,1
24,106,production/106_3,1418483232,2
25,107,production/107_1,1417788127,0
26,107,production/107_5,1417788132,1
27,107,production/107_4,1417788253,2
28,108,production/108_2,1621851966,0
29,108,production/108_1,1621851957,1
30,108,production/108_3,1621851951,2
31,108,production/108_4,1621851950,3
32,109,production/109_1,1450196439,0
33,11,production/11_1,1417708083,0
34,11,production/11_3,1417708198,1
35,110,production/110_3,1417707902,0
36,110,production/110_1,1417707969,1
37,110,production/110_4,1417708054,2
38,110,production/110_5,1417708261,3
39,110,production/110_2,1417708397,4
40,111,production/111_1,1435678882,0
41,111,production/111_2,1418387291,1
42,111,production/111_4,1418387571,2
43,111,production/111_5,1418387583,3
44,111,production/111_3,1418387595,4
45,1130,production/1130_1,1422226189,0
46,112,production/112_3,1418487421,0
47,112,production/112_1,1418487316,1
48,112,production/112_2,1418487428,2
49,112,production/112_5,1418487352,3
50,112,production/112_4,1418487359,4
51,114,production/114_1,1418490867,0
52,117,production/117_1,1416578218,0
53,117,production/117_2,1416578198,1
54,117,production/117_3,1416578155,2
55,115,production/115_1,1418677584,0
56,115,production/115_2,1418677611,1
57,115,production/115_3,1418677622,2
58,115,production/115_4,1418677630,3
59,115,production/115_5,1418677687,4
60,118,production/118_2,1418122210,0
61,118,production/118_1,1418122211,1
62,12,production/12_4,1418674483,0
63,12,production/12_3,1418674456,1
64,12,production/12_1,1418674403,2
65,119,production/119_10,1578934117,0
66,119,production/119_5,1578934114,1
67,119,production/119_9,1578934114,2
68,119,production/119_7,1578934112,3
69,119,production/119_8,1578934112,4
70,119,production/119_3,1578934108,5
71,119,production/119_2,1578934108,6
72,119,production/119_6,1578934106,7
73,119,production/119_1,1578934105,8
74,119,production/119_4,1578934104,9
75,120,production/120_2,1418490731,0
76,120,production/120_5,1418490767,1
77,120,production/120_3,1418490771,2
78,120,production/120_1,1418490843,3
79,121,production/121_1,1421769176,0
80,122,production/122_3,1418122464,0
81,123,production/123_2,1418483402,0
82,123,production/123_5,1418483389,1
83,123,production/123_3,1418483310,2
84,123,production/123_4,1418483301,3
85,123,production/123_1,1418483278,4
86,125,production/125_1,1418387522,0
87,124,production/124_1,1417788177,0
88,124,production/124_5,1417788399,1
89,124,production/124_4,1417788415,2
90,124,production/124_3,1417788415,3
91,124,production/124_2,1417788436,4
92,126,production/126_1,1418490801,0
93,127,production/127_2,1416579564,0
94,127,production/127_4,1416579550,1
95,127,production/127_1,1416579548,2
96,127,production/127_5,1416579504,3
97,127,production/127_3,1416579500,4
98,128,production/128_2,1418487398,0
99,128,production/128_1,1418487387,1
100,129,production/129_2,1418483371,0
101,129,production/129_3,1418483382,1
102,129,production/129_1,1418483405,2
103,13,production/13_4,1417707931,0
104,13,production/13_5,1417707993,1
105,13,production/13_2,1417708084,2
106,13,production/13_1,1417708340,3
107,13,production/13_3,1417708478,4
108,130,production/130_1,1418677757,0
109,130,production/130_3,1418677796,1
110,130,production/130_2,1418678519,2
111,131,production/131_5,1497449586,0
112,131,production/131_4,1497449584,1
113,131,production/131_3,1497449583,2
114,131,production/131_2,1497449585,3
115,131,production/131_1,1497449584,4
116,131,production/131_6,1416579525,5
117,131,production/131_7,1416579544,6
118,131,production/131_8,1416579583,7
119,131,production/131_9,1416579622,8
120,131,production/131_10,1416579641,9
121,132,production/132_2,1427102401,0
122,132,production/132_1,1427102401,1
123,133,production/133_5,1417707907,0
124,133,production/133_2,1417708130,1
125,133,production/133_4,1417708150,2
126,133,production/133_3,1417708296,3
127,133,production/133_1,1417708342,4
128,134,production/134_10,1551979791,0
129,134,production/134_1,1551979635,1
130,134,production/134_9,1551978451,2
131,134,production/134_6,1551978450,3
132,134,production/134_8,1551978447,4
133,134,production/134_7,1551979537,5
134,134,production/134_4,1551978444,6
135,134,production/134_5,1551978444,7
136,134,production/134_3,1551979324,8
137,134,production/134_2,1551978444,9
138,135,production/135_1,1418487430,0
139,137,production/137_1,1418136175,0
140,138,production/138_2,1418487426,0
141,138,production/138_3,1418487493,1
142,138,production/138_1,1418487561,2
143,139,production/139_1,1418483412,0
144,14,production/14_3,1418481079,0
145,14,production/14_2,1418481134,1
146,14,production/14_1,1418481154,2
147,140,production/140_1,1418490892,0
148,140,production/140_2,1418490982,1
149,140,production/140_3,1418491057,2
150,141,production/141_2,1417707926,0
151,141,production/141_3,1417707965,1
152,141,production/141_1,1417708125,2
153,141,production/141_5,1417708292,3
154,141,production/141_4,1417708409,4
155,142,production/142_3,1418491104,0
156,142,production/142_5,1418491062,1
157,142,production/142_4,1418491045,2
158,142,production/142_2,1418490979,3
159,142,production/142_1,1418490944,4
160,143,production/143_1,1418677824,0
161,144,production/144_2,1418677825,0
162,144,production/144_3,1418678441,1
163,144,production/144_4,1418678513,2
164,144,production/144_1,1418678566,3
165,144,production/144_5,1418678571,4
166,145,production/145_1,1523881673,0
167,145,production/145_6,1498478444,1
168,145,production/145_4,1498478444,2
169,145,production/145_5,1418678784,3
170,145,production/145_3,1418678706,4
171,145,production/145_2,1418678636,5
172,149,production/149_1,1417708193,0
173,146,production/146_2,1418487450,0
174,146,production/146_1,1418487542,1
175,146,production/146_3,1418487487,2
176,146,production/146_5,1418487483,3
177,146,production/146_4,1418487509,4
178,15,production/15_3,1422292944,0
179,15,production/15_1,1422292971,1
180,15,production/15_2,1422376435,2
181,150,production/150_2,1418678623,0
182,150,production/150_3,1418678685,1
183,150,production/150_1,1418678710,2
184,151,production/151_1,1418483454,0
185,152,production/152_1,1430215334,0
186,152,production/152_5,1418678879,1
187,152,production/152_4,1418678790,2
188,152,production/152_6,1418678783,3
189,152,production/152_3,1418678713,4
190,153,production/153_1,1422224667,0
191,154,production/154_2,1418483544,0
192,154,production/154_1,1418483478,1
193,154,production/154_5,1418483486,2
194,154,production/154_3,1418483499,3
195,154,production/154_4,1418483533,4
196,155,production/155_2,1418387598,0
197,155,production/155_3,1418387563,1
198,155,production/155_1,1418387529,2
199,157,production/157_1,1418490997,0
200,157,production/157_3,1418491088,1
201,158,production/158_1,1418678751,0
202,159,production/159_5,1418483568,0
203,159,production/159_3,1418483554,1
204,159,production/159_2,1418483538,2
205,159,production/159_4,1418483565,3
206,159,production/159_1,1418483535,4
207,16,production/16_1,1450197326,0
208,160,160_6,1640166006,0
209,160,160_4,1640166005,1
210,160,160_5,1640166001,2
211,160,160_1,1640166000,3
212,160,160_2,1640166000,4
213,160,160_3,1640165989,5
214,161,production/161_3,1418388585,0
215,161,production/161_4,1418388578,1
216,161,production/161_1,1418387635,2
217,161,production/161_2,1418387520,3
218,162,production/162_1,1418483728,0
219,162,production/162_5,1418483717,1
220,162,production/162_3,1418483726,2
221,162,production/162_4,1418483698,3
222,162,production/162_2,1418483708,4
223,163,production/163_2,1416579597,0
224,163,production/163_3,1416579493,1
225,163,production/163_1,1416579485,2
226,164,production/164_1,1555596616,0
227,165,production/165_2,1469109700,0
228,165,production/165_1,1469109666,1
229,165,production/165_3,1418491219,2
230,165,production/165_4,1418491137,3
231,165,production/165_5,1418491103,4
232,166,production/166_3,1418487604,0
233,166,production/166_1,1418487528,1
234,166,production/166_2,1418487633,2
235,167,production/167_1,1422359050,0
236,168,production/168_2,1418678779,0
237,168,production/168_3,1418678803,1
238,168,production/168_1,1418678876,2
239,169,production/169_1,1549897065,0
240,169,production/169_2,1549896517,1
241,169,production/169_3,1549896517,2
242,17,production/17_3,1418481193,0
243,17,production/17_1,1418481208,1
244,17,production/17_2,1418481127,2
245,170,production/170_1,1418679696,0
246,172,production/172_5,1418679665,0
247,172,production/172_4,1418679710,1
248,172,production/172_1,1418679730,2
249,172,production/172_3,1418679755,3
250,172,production/172_2,1418679782,4
251,175,production/175_1,1418483780,0
252,175,production/175_3,1418483795,1
253,175,production/175_4,1418483795,2
254,175,production/175_2,1418483845,3
255,174,production/174_2,1549896310,0
256,174,production/174_4,1549895644,1
257,174,production/174_3,1549895644,2
258,174,production/174_1,1549895644,3
259,176,production/176_1,1445333268,0
260,176,production/176_2,1427384459,1
261,177,production/177_1,1422224534,0
262,178,production/178_1,1418679708,0
263,178,production/178_3,1418679753,1
264,178,production/178_2,1418679773,2
265,178,production/178_5,1418679805,3
266,178,production/178_4,1418679857,4
267,179,production/179_1,1418483873,0
268,18,production/18_2,1418386133,0
269,18,production/18_5,1418386137,1
270,18,production/18_4,1418386142,2
271,18,production/18_1,1418386178,3
272,18,production/18_3,1418386189,4
273,181,production/181_3,1418483871,0
274,181,production/181_4,1418483866,1
275,181,production/181_1,1418483867,2
276,181,production/181_2,1418483911,3
277,183,production/183_1,1418483934,0
278,183,production/183_5,1418483995,1
279,183,production/183_4,1418483964,2
280,183,production/183_3,1418483998,3
281,183,production/183_2,1418483992,4
282,182,production/182_2,1505406111,0
283,182,production/182_3,1505406109,1
